1,Hydrogen,Nonmetal
3,Lithium,Metal
4,Beryllium,Metal
7,Nitrogen,Nonmetal
8,Oxygen,Nonmetal
9,Fluorine,Metal
11,Sodium,Nonmetal
12,Magnesium,Metal
13,Aluminum,Metal
15,Phospurous,Nonmetal
16,Sulfur,Nonmetal
17,Chlorine,Nonmetal
19,Potassium,Metal
20,Calcium,Metal
31,Gallium,Metal
34,Selenium,Nonmetal
35,Bromine,Nonmetal
37,Rubidium,Metal
38,Strontium,Metal
53,Iodine,Nonmetal
55,Cesium,Metal
56,Barium,Metal
87,Francium,Metal
88,Radium,Metal
